req2_content,req1_content,cos,pos_overlap_ratio,opposite_overlap_count,jaccard,euclidean,levenshtein,jensen_shannon,ngram,bm25,decision
"Clicking on Buy Now, will take the user to checkout page.",User can search a product.,0.083,0,0,0,1.354,47,1,0,0,No
User must be logged in to checkout.,User can search a product.,0.106,0.5,0,0.091,1.337,23,0.832,0,0.517,No
"In the checkout page, the user can add a new address different from his own.",User can search a product.,0.151,0,0,0.118,1.303,60,0.784,0,2.899,No
The user can pay via Online Banking or select a cash on delivery method.,User can search a product.,0.168,0,0,0.118,1.29,53,0.774,0,2.515,No
Products must have details to show.,User can search a product.,0,0,0,0,1.414,28,1,0,0,No
The delivery address will be the same of the user's address.,User can search a product.,0.063,0,0,0,1.369,49,1,0,0,No
Cash on delivery is not an option.,User can search a product.,0,0,0,0,1.414,26,1,0,0,No
User must pay the bills using Dutch Bangla Bank or Bkash.,User can search a product.,0.083,0.167,0,0.067,1.354,42,0.87,0,0.848,No
User can add a product to the cart.,User can search a product.,0.407,0.667,0,0.3,1.089,17,0.531,0,1.752,No
"In the cart, any item can be removed or count can be changed.",User can search a product.,0.139,0,0,0.067,1.312,47,0.825,0,1.098,No
Cart should be easy and dynamic to use.,User can search a product.,0,0,0,0,1.414,30,1,0,0,No
Confirmation of cart will take the user to the checkout page.,User can search a product.,0.076,0,0,0,1.359,48,1,0,0,No
Cart will be saved even if the user logs out.,User can search a product.,0.088,0,0,0,1.351,35,1,0,0,No
Cart products cannot be changed.,User can search a product.,0,0,0,0,1.414,26,1,0,0,No
Cart will be empty if the user session ends.,User can search a product.,0.093,0,0,0,1.347,36,1,0,0,No
Multiple products will be added to cart.,User can search a product.,0,0,0,0,1.414,31,1,0,0,No
"In admin panel, the admin can add products to different categories.",User can search a product.,0.076,0,0,0.071,1.359,49,0.87,0,0.848,No
Admin can manage stocks in the inventory.,User can search a product.,0.106,0,0,0.091,1.337,30,0.832,0,0.517,No
Discount can be applied on any product.,User can search a product.,0.238,0.5,0,0.2,1.235,20,0.664,0,1.033,No
A product can have multiple variants.,User can search a product.,0.291,0.5,0,0.1,1.191,27,0.818,0,0.457,Yes
A product can belong to different categories.,User can search a product.,0.261,0.5,0,0.091,1.216,32,0.832,0,0.517,No
A product cannot have types.,User can search a product.,0.144,0.5,0,0,1.308,23,1,0,0,No
Product with stock zero will be deleted.,User can search a product.,0.106,0,0,0,1.337,32,1,0,0,No
A restocked product should appear normally.,User can search a product.,0.127,0.5,0,0,1.321,32,1,0,0,No
"By clicking on a product, user can view details of a product.",User can not save any product.,0.317,0.333,0,0.133,1.169,39,0.77,0,2.612,No
"Clicking on Buy Now, will take the user to checkout page.",User can not save any product.,0.067,0,0,0,1.366,44,1,0,0,No
User must be logged in to checkout.,User can not save any product.,0.085,0.5,0,0.083,1.353,23,0.846,0,0.782,No
"In the checkout page, the user can add a new address different from his own.",User can not save any product.,0.117,0,0,0.053,1.329,59,0.899,0,1.795,No
The user can pay via Online Banking or select a cash on delivery method.,User can not save any product.,0.13,0,0,0.053,1.319,52,0.895,0,1.612,No
Products must have details to show.,User can not save any product.,0,0,0,0,1.414,24,1,0,0,No
The delivery address will be the same of the user's address.,User can not save any product.,0.05,0,0,0,1.378,46,1,0,0,No
Cash on delivery is not an option.,User can not save any product.,0.085,0,0,0.083,1.353,27,0.846,0,0.782,No
User must pay the bills using Dutch Bangla Bank or Bkash.,User can not save any product.,0.067,0.167,0,0.062,1.366,40,0.879,0,1.178,No
User can add a product to the cart.,User can not save any product.,0.304,0.667,0,0.167,1.18,21,0.713,0,1.732,Yes
"In the cart, any item can be removed or count can be changed.",User can not save any product.,0.178,0,0,0.133,1.282,46,0.73,0,2.9,No
Cart should be easy and dynamic to use.,User can not save any product.,0,0,0,0,1.414,29,1,0,0,No
Confirmation of cart will take the user to the checkout page.,User can not save any product.,0.061,0,0,0,1.37,46,1,0,0,No
Cart will be saved even if the user logs out.,User can not save any product.,0.07,0,0,0,1.364,32,1,0,0,No
Cart products cannot be changed.,User can not save any product.,0,0,0,0,1.414,26,1,0,0,No
Cart will be empty if the user session ends.,User can not save any product.,0.074,0,0,0,1.361,35,1,0,0,No
Multiple products will be added to cart.,User can not save any product.,0,0,0,0,1.414,30,1,0,0,No
"In admin panel, the admin can add products to different categories.",User can not save any product.,0.061,0,0,0.067,1.37,50,0.879,0,1.178,No
Admin can manage stocks in the inventory.,User can not save any product.,0.085,0,0,0.083,1.353,29,0.846,0,0.782,No
Discount can be applied on any product.,User can not save any product.,0.304,0.5,0,0.3,1.18,19,0.538,0,2.345,No
A product can have multiple variants.,User can not save any product.,0.226,0.5,0,0.091,1.244,27,0.833,0,0.705,No
A product can belong to different categories.,User can not save any product.,0.202,0.5,0,0.083,1.263,31,0.846,0,0.782,No
A product cannot have types.,User can not save any product.,0.115,0.5,0,0,1.33,19,1,0,0,No
Product with stock zero will be deleted.,User can not save any product.,0.085,0,0,0,1.353,30,1,0,0,No
A restocked product should appear normally.,User can not save any product.,0.102,0.5,0,0,1.34,31,1,0,0,No
"Clicking on Buy Now, will take the user to checkout page.","By clicking on a product, user can view details of a product.",0.152,0,0,0.1,1.302,43,0.826,0,3.272,No
User must be logged in to checkout.,"By clicking on a product, user can view details of a product.",0.059,0,0,0,1.372,47,1,0,0,No
"In the checkout page, the user can add a new address different from his own.","By clicking on a product, user can view details of a product.",0.079,0,0,0.136,1.357,52,0.751,0,6.027,No
The user can pay via Online Banking or select a cash on delivery method.,"By clicking on a product, user can view details of a product.",0.138,0,0,0.19,1.313,58,0.664,0,7.634,No
Products must have details to show.,"By clicking on a product, user can view details of a product.",0.064,0.333,0,0.062,1.369,37,0.885,0,1.276,No
The delivery address will be the same of the user's address.,"By clicking on a product, user can view details of a product.",0.072,0,0,0.05,1.362,51,0.913,0,1.636,No
Cash on delivery is not an option.,"By clicking on a product, user can view details of a product.",0.059,0,0,0.059,1.372,46,0.893,0,1.338,No
User must pay the bills using Dutch Bangla Bank or Bkash.,"By clicking on a product, user can view details of a product.",0.046,0,0,0,1.381,51,1,0,0,No
User can add a product to the cart.,"By clicking on a product, user can view details of a product.",0.287,0.333,0,0.118,1.194,41,0.755,0,2.81,No
"In the cart, any item can be removed or count can be changed.","By clicking on a product, user can view details of a product.",0.077,0,0,0.048,1.359,49,0.889,0,1.813,No
Cart should be easy and dynamic to use.,"By clicking on a product, user can view details of a product.",0,0,0,0,1.414,47,1,0,0,No
Confirmation of cart will take the user to the checkout page.,"By clicking on a product, user can view details of a product.",0.088,0,0,0.105,1.351,50,0.826,0,3.272,No
Cart will be saved even if the user logs out.,"By clicking on a product, user can view details of a product.",0.048,0,0,0.05,1.38,44,0.909,0,1.554,No
Cart products cannot be changed.,"By clicking on a product, user can view details of a product.",0,0,0,0,1.414,42,1,0,0,No
Cart will be empty if the user session ends.,"By clicking on a product, user can view details of a product.",0.051,0,0,0.053,1.378,45,0.904,0,1.477,No
Multiple products will be added to cart.,"By clicking on a product, user can view details of a product.",0,0,0,0,1.414,41,1,0,0,No
"In admin panel, the admin can add products to different categories.","By clicking on a product, user can view details of a product.",0.042,0,0,0.05,1.384,54,0.913,0,1.636,No
Admin can manage stocks in the inventory.,"By clicking on a product, user can view details of a product.",0.059,0,0,0.059,1.372,47,0.893,0,1.338,No
Discount can be applied on any product.,"By clicking on a product, user can view details of a product.",0.287,0.333,0,0.2,1.194,38,0.678,0,4.013,No
A product can have multiple variants.,"By clicking on a product, user can view details of a product.",0.246,0.333,0,0.062,1.228,42,0.885,0,1.276,No
A product can belong to different categories.,"By clicking on a product, user can view details of a product.",0.22,0.333,0,0.059,1.249,47,0.893,0,1.338,No
A product cannot have types.,"By clicking on a product, user can view details of a product.",0.171,0.333,0,0,1.288,44,1,0,0,No
Product with stock zero will be deleted.,"By clicking on a product, user can view details of a product.",0.125,0,0,0,1.323,46,1,0,0,No
A restocked product should appear normally.,"By clicking on a product, user can view details of a product.",0.151,0.333,0,0,1.303,44,1,0,0,No
User must be logged in to checkout.,"Clicking on Buy Now, will take the user to checkout page.",0.21,0.333,0,0.059,1.257,38,0.887,0,1.284,Yes
"In the checkout page, the user can add a new address different from his own.","Clicking on Buy Now, will take the user to checkout page.",0.238,0.5,0,0.136,1.235,61,0.736,0,6.013,No
The user can pay via Online Banking or select a cash on delivery method.,"Clicking on Buy Now, will take the user to checkout page.",0.145,0.167,0,0.087,1.308,54,0.839,0,3.791,No
Products must have details to show.,"Clicking on Buy Now, will take the user to checkout page.",0.067,0,0,0.062,1.366,42,0.879,0,1.217,No
The delivery address will be the same of the user's address.,"Clicking on Buy Now, will take the user to checkout page.",0.223,0.25,0,0.105,1.247,43,0.784,0,3.204,No
Cash on delivery is not an option.,"Clicking on Buy Now, will take the user to checkout page.",0.061,0,0,0.059,1.37,43,0.887,0,1.284,No
User must pay the bills using Dutch Bangla Bank or Bkash.,"Clicking on Buy Now, will take the user to checkout page.",0.101,0,0,0.048,1.341,46,0.909,0,1.602,No
User can add a product to the cart.,"Clicking on Buy Now, will take the user to checkout page.",0.21,0,0,0.118,1.257,42,0.788,0,2.711,No
"In the cart, any item can be removed or count can be changed.","Clicking on Buy Now, will take the user to checkout page.",0.038,0,0,0.048,1.387,47,0.917,0,1.792,No
Cart should be easy and dynamic to use.,"Clicking on Buy Now, will take the user to checkout page.",0.057,0,0,0.056,1.373,43,0.894,0,1.355,No
Confirmation of cart will take the user to the checkout page.,"Clicking on Buy Now, will take the user to checkout page.",0.519,0.4,0,0.5,0.981,20,0.329,0.2,11.214,Yes
Cart will be saved even if the user logs out.,"Clicking on Buy Now, will take the user to checkout page.",0.169,0.333,0,0.167,1.289,37,0.714,0,4.544,No
Cart products cannot be changed.,"Clicking on Buy Now, will take the user to checkout page.",0,0,0,0,1.414,44,1,0,0,No
Cart will be empty if the user session ends.,"Clicking on Buy Now, will take the user to checkout page.",0.18,0.333,0,0.176,1.281,39,0.699,0,4.298,No
Multiple products will be added to cart.,"Clicking on Buy Now, will take the user to checkout page.",0.13,0,0,0.125,1.319,39,0.775,0,2.567,No
"In admin panel, the admin can add products to different categories.","Clicking on Buy Now, will take the user to checkout page.",0.092,0,0,0.105,1.347,49,0.818,0,3.204,No
Admin can manage stocks in the inventory.,"Clicking on Buy Now, will take the user to checkout page.",0.061,0,0,0.059,1.37,44,0.887,0,1.284,No
Discount can be applied on any product.,"Clicking on Buy Now, will take the user to checkout page.",0.061,0,0,0.059,1.37,43,0.887,0,1.284,No
A product can have multiple variants.,"Clicking on Buy Now, will take the user to checkout page.",0,0,0,0,1.414,46,1,0,0,No
A product can belong to different categories.,"Clicking on Buy Now, will take the user to checkout page.",0.067,0,0,0.059,1.366,46,0.887,0,1.284,No
A product cannot have types.,"Clicking on Buy Now, will take the user to checkout page.",0,0,0,0,1.414,46,1,0,0,No
Product with stock zero will be deleted.,"Clicking on Buy Now, will take the user to checkout page.",0.061,0,0,0.059,1.37,44,0.887,0,1.284,No
A restocked product should appear normally.,"Clicking on Buy Now, will take the user to checkout page.",0,0,0,0,1.414,48,1,0,0,No
"In the checkout page, the user can add a new address different from his own.",User must be logged in to checkout.,0.17,0,0,0,1.289,60,1,0,0,No
The user can pay via Online Banking or select a cash on delivery method.,User must be logged in to checkout.,0.056,0,0,0,1.374,55,1,0,0,No
Products must have details to show.,User must be logged in to checkout.,0.184,0,0,0.182,1.277,25,0.692,0,1.733,No
The delivery address will be the same of the user's address.,User must be logged in to checkout.,0.097,0.333,0,0.062,1.344,46,0.887,0,1.345,No
Cash on delivery is not an option.,User must be logged in to checkout.,0,0,0,0,1.414,27,1,0,0,No
User must pay the bills using Dutch Bangla Bank or Bkash.,User must be logged in to checkout.,0.13,0.167,0,0.125,1.319,37,0.775,0,2.69,No
User can add a product to the cart.,User must be logged in to checkout.,0.168,0.333,0,0.154,1.29,20,0.733,0,2.067,No
"In the cart, any item can be removed or count can be changed.",User must be logged in to checkout.,0.162,0.25,0,0.059,1.294,43,0.852,0,1.604,No
Cart should be easy and dynamic to use.,User must be logged in to checkout.,0.156,0.333,0,0.154,1.299,28,0.733,0,2.067,No
Confirmation of cart will take the user to the checkout page.,User must be logged in to checkout.,0.19,0,0,0.062,1.272,41,0.887,0,1.345,No
Cart will be saved even if the user logs out.,User must be logged in to checkout.,0.138,0.333,0,0.062,1.313,29,0.881,0,1.232,No
Cart products cannot be changed.,User must be logged in to checkout.,0.093,0.333,0,0.091,1.346,29,0.832,0,0.794,No
Cart will be empty if the user session ends.,User must be logged in to checkout.,0.146,0.333,0,0.067,1.307,32,0.874,0,1.128,No
Multiple products will be added to cart.,User must be logged in to checkout.,0.168,0.333,0,0.167,1.29,30,0.714,0,1.892,No
"In admin panel, the admin can add products to different categories.",User must be logged in to checkout.,0.119,0,0,0.062,1.327,53,0.887,0,1.345,No
Admin can manage stocks in the inventory.,User must be logged in to checkout.,0.078,0,0,0.077,1.358,29,0.857,0,0.946,No
Discount can be applied on any product.,User must be logged in to checkout.,0.078,0.333,0,0.077,1.358,27,0.857,0,0.946,No
A product can have multiple variants.,User must be logged in to checkout.,0,0,0,0,1.414,29,1,0,0,No
A product can belong to different categories.,User must be logged in to checkout.,0.085,0,0,0.077,1.353,31,0.857,0,0.946,No
A product cannot have types.,User must be logged in to checkout.,0,0,0,0,1.414,26,1,0,0,No
Product with stock zero will be deleted.,User must be logged in to checkout.,0.078,0.333,0,0.077,1.358,30,0.857,0,0.946,No
A restocked product should appear normally.,User must be logged in to checkout.,0,0,0,0,1.414,35,1,0,0,No
The user can pay via Online Banking or select a cash on delivery method.,"In the checkout page, the user can add a new address different from his own.",0.165,0.167,0,0.12,1.292,58,0.793,0,5.827,No
Products must have details to show.,"In the checkout page, the user can add a new address different from his own.",0,0,0,0,1.414,57,1,0,0,No
The delivery address will be the same of the user's address.,"In the checkout page, the user can add a new address different from his own.",0.363,0.5,1,0.091,1.129,58,0.768,0,3.437,Yes
Cash on delivery is not an option.,"In the checkout page, the user can add a new address different from his own.",0,0,0,0,1.414,57,1,0,0,No
User must pay the bills using Dutch Bangla Bank or Bkash.,"In the checkout page, the user can add a new address different from his own.",0.13,0,0,0.042,1.319,58,0.891,0,1.719,No
User can add a product to the cart.,"In the checkout page, the user can add a new address different from his own.",0.319,1,0,0.222,1.167,55,0.603,0.056,6.109,No
"In the cart, any item can be removed or count can be changed.","In the checkout page, the user can add a new address different from his own.",0.187,0,0,0.136,1.275,51,0.731,0,5.593,No
Cart should be easy and dynamic to use.,"In the checkout page, the user can add a new address different from his own.",0,0,0,0,1.414,54,1,0,0,No
Confirmation of cart will take the user to the checkout page.,"In the checkout page, the user can add a new address different from his own.",0.324,0.6,0,0.143,1.163,61,0.69,0.048,5.156,No
Cart will be saved even if the user logs out.,"In the checkout page, the user can add a new address different from his own.",0.138,0.25,0,0.091,1.313,54,0.804,0,3.302,No
Cart products cannot be changed.,"In the checkout page, the user can add a new address different from his own.",0,0,0,0,1.414,61,1,0,0,No
Cart will be empty if the user session ends.,"In the checkout page, the user can add a new address different from his own.",0.146,0.25,0,0.095,1.307,57,0.794,0,3.174,No
Multiple products will be added to cart.,"In the checkout page, the user can add a new address different from his own.",0,0,0,0,1.414,57,1,0,0,No
"In admin panel, the admin can add products to different categories.","In the checkout page, the user can add a new address different from his own.",0.27,1,0,0.263,1.209,44,0.581,0,8.593,No
Admin can manage stocks in the inventory.,"In the checkout page, the user can add a new address different from his own.",0.239,0,0,0.105,1.234,57,0.767,0,2.944,No
Discount can be applied on any product.,"In the checkout page, the user can add a new address different from his own.",0.05,0,0,0.05,1.378,58,0.905,0,1.472,No
A product can have multiple variants.,"In the checkout page, the user can add a new address different from his own.",0.061,0,0,0.053,1.371,59,0.899,0,1.421,No
A product can belong to different categories.,"In the checkout page, the user can add a new address different from his own.",0.117,0.333,0,0.105,1.329,54,0.811,0,2.944,No
A product cannot have types.,"In the checkout page, the user can add a new address different from his own.",0,0,0,0,1.414,62,1,0,0,No
Product with stock zero will be deleted.,"In the checkout page, the user can add a new address different from his own.",0,0,0,0,1.414,58,1,0,0,No
A restocked product should appear normally.,"In the checkout page, the user can add a new address different from his own.",0,0,0,0,1.414,56,1,0,0,No
Products must have details to show.,The user can pay via Online Banking or select a cash on delivery method.,0,0,0,0,1.414,57,1,0,0,No
The delivery address will be the same of the user's address.,The user can pay via Online Banking or select a cash on delivery method.,0.202,0.333,0,0.091,1.263,52,0.839,0,3.386,No
Cash on delivery is not an option.,The user can pay via Online Banking or select a cash on delivery method.,0.19,0.167,0,0.105,1.272,55,0.803,0,2.861,No
User must pay the bills using Dutch Bangla Bank or Bkash.,The user can pay via Online Banking or select a cash on delivery method.,0.203,0.5,0,0.087,1.263,50,0.839,0,3.386,Yes
User can add a product to the cart.,The user can pay via Online Banking or select a cash on delivery method.,0.19,0,0,0.1,1.272,51,0.814,0,2.98,No
"In the cart, any item can be removed or count can be changed.",The user can pay via Online Banking or select a cash on delivery method.,0.159,0,0,0.087,1.297,50,0.824,0,3.696,No
Cart should be easy and dynamic to use.,The user can pay via Online Banking or select a cash on delivery method.,0,0,0,0,1.414,58,1,0,0,No
Confirmation of cart will take the user to the checkout page.,The user can pay via Online Banking or select a cash on delivery method.,0.135,0.167,0,0.043,1.315,56,0.92,0,1.693,No
Cart will be saved even if the user logs out.,The user can pay via Online Banking or select a cash on delivery method.,0.097,0.167,0,0.043,1.344,55,0.916,0,1.621,No
Cart products cannot be changed.,The user can pay via Online Banking or select a cash on delivery method.,0,0,0,0,1.414,55,1,0,0,No
Cart will be empty if the user session ends.,The user can pay via Online Banking or select a cash on delivery method.,0.103,0.167,0,0.045,1.339,55,0.912,0,1.554,No
Multiple products will be added to cart.,The user can pay via Online Banking or select a cash on delivery method.,0,0,0,0,1.414,58,1,0,0,No
"In admin panel, the admin can add products to different categories.",The user can pay via Online Banking or select a cash on delivery method.,0.084,0,0,0.043,1.353,54,0.92,0,1.693,No
Admin can manage stocks in the inventory.,The user can pay via Online Banking or select a cash on delivery method.,0.119,0,0,0.05,1.327,51,0.902,0,1.431,No
Discount can be applied on any product.,The user can pay via Online Banking or select a cash on delivery method.,0.119,0,0,0.105,1.327,54,0.803,0,2.861,No
A product can have multiple variants.,The user can pay via Online Banking or select a cash on delivery method.,0.067,0,0,0.053,1.366,56,0.895,0,1.376,No
A product can belong to different categories.,The user can pay via Online Banking or select a cash on delivery method.,0.061,0,0,0.05,1.37,53,0.902,0,1.431,No
A product cannot have types.,The user can pay via Online Banking or select a cash on delivery method.,0,0,0,0,1.414,58,1,0,0,No
Product with stock zero will be deleted.,The user can pay via Online Banking or select a cash on delivery method.,0,0,0,0,1.414,55,1,0,0,No
A restocked product should appear normally.,The user can pay via Online Banking or select a cash on delivery method.,0,0,0,0,1.414,58,1,0,0,No
The delivery address will be the same of the user's address.,Products must have details to show.,0,0,0,0,1.414,47,1,0,0,No
Cash on delivery is not an option.,Products must have details to show.,0,0,0,0,1.414,30,1,0,0,No
User must pay the bills using Dutch Bangla Bank or Bkash.,Products must have details to show.,0.067,0,0,0.062,1.366,44,0.879,0,1.178,No
User can add a product to the cart.,Products must have details to show.,0.085,0,0,0.077,1.353,28,0.856,0,0.866,No
"In the cart, any item can be removed or count can be changed.",Products must have details to show.,0,0,0,0,1.414,47,1,0,0,No
Cart should be easy and dynamic to use.,Products must have details to show.,0.079,0,0,0.077,1.357,27,0.856,0,0.866,No
Confirmation of cart will take the user to the checkout page.,Products must have details to show.,0.061,0,0,0.067,1.37,45,0.879,0,1.178,No
Cart will be saved even if the user logs out.,Products must have details to show.,0,0,0,0,1.414,32,1,0,0,No
Cart products cannot be changed.,Products must have details to show.,0.102,0,0,0,1.34,28,1,0,0,No
Cart will be empty if the user session ends.,Products must have details to show.,0,0,0,0,1.414,33,1,0,0,No
Multiple products will be added to cart.,Products must have details to show.,0.184,0,0,0.083,1.277,28,0.846,0,0.782,No
"In admin panel, the admin can add products to different categories.",Products must have details to show.,0.13,0,0,0.067,1.319,54,0.879,0,1.178,No
Admin can manage stocks in the inventory.,Products must have details to show.,0,0,0,0,1.414,32,1,0,0,No
Discount can be applied on any product.,Products must have details to show.,0,0,0,0,1.414,32,1,0,0,No
A product can have multiple variants.,Products must have details to show.,0.102,0.5,0,0.091,1.34,22,0.833,0,0.705,No
A product can belong to different categories.,Products must have details to show.,0.092,0,0,0.083,1.348,33,0.846,0,0.782,No
A product cannot have types.,Products must have details to show.,0.115,0.5,0,0.1,1.33,22,0.818,0,0.637,No
Product with stock zero will be deleted.,Products must have details to show.,0,0,0,0,1.414,25,1,0,0,No
A restocked product should appear normally.,Products must have details to show.,0,0,0,0,1.414,33,1,0,0,No
Cash on delivery is not an option.,The delivery address will be the same of the user's address.,0.046,0.25,0,0.062,1.381,44,0.887,0,1.284,No
User must pay the bills using Dutch Bangla Bank or Bkash.,The delivery address will be the same of the user's address.,0.171,0,0,0.05,1.288,48,0.875,0,1.602,No
User can add a product to the cart.,The delivery address will be the same of the user's address.,0.22,0,0,0.059,1.249,43,0.85,0,1.355,No
"In the cart, any item can be removed or count can be changed.",The delivery address will be the same of the user's address.,0.177,0.25,0,0.105,1.283,48,0.77,0,3.584,No
Cart should be easy and dynamic to use.,The delivery address will be the same of the user's address.,0.043,0.5,0,0.059,1.384,46,0.894,0,1.355,No
Confirmation of cart will take the user to the checkout page.,The delivery address will be the same of the user's address.,0.408,0.2,0,0.176,1.088,41,0.636,0,4.806,No
Cart will be saved even if the user logs out.,The delivery address will be the same of the user's address.,0.297,0.333,0,0.176,1.186,37,0.677,0,4.544,No
Cart products cannot be changed.,The delivery address will be the same of the user's address.,0.055,0.5,0,0.071,1.374,47,0.87,0,1.158,No
Cart will be empty if the user session ends.,The delivery address will be the same of the user's address.,0.317,0.5,0,0.188,1.169,36,0.659,0,4.298,No
Multiple products will be added to cart.,The delivery address will be the same of the user's address.,0.097,0.333,0,0.133,1.344,40,0.775,0,2.567,No
"In admin panel, the admin can add products to different categories.",The delivery address will be the same of the user's address.,0.113,0,1,0.053,1.332,53,0.875,0,1.602,No
Admin can manage stocks in the inventory.,The delivery address will be the same of the user's address.,0.156,0,0,0.062,1.299,45,0.839,0,1.284,No
Discount can be applied on any product.,The delivery address will be the same of the user's address.,0.046,0.5,0,0.062,1.381,47,0.887,0,1.284,No
A product can have multiple variants.,The delivery address will be the same of the user's address.,0,0,0,0,1.414,46,1,0,0,No
A product can belong to different categories.,The delivery address will be the same of the user's address.,0,0,1,0,1.414,47,1,0,0,No
A product cannot have types.,The delivery address will be the same of the user's address.,0,0,0,0,1.414,46,1,0,0,No
Product with stock zero will be deleted.,The delivery address will be the same of the user's address.,0.097,0.5,0,0.133,1.344,46,0.775,0,2.567,No
A restocked product should appear normally.,The delivery address will be the same of the user's address.,0,0,0,0,1.414,49,1,0,0,No
User must pay the bills using Dutch Bangla Bank or Bkash.,Cash on delivery is not an option.,0,0,0,0,1.414,43,1,0,0,No
User can add a product to the cart.,Cash on delivery is not an option.,0,0,0,0,1.414,28,1,0,0,No
"In the cart, any item can be removed or count can be changed.",Cash on delivery is not an option.,0,0,0,0,1.414,44,1,0,0,No
Cart should be easy and dynamic to use.,Cash on delivery is not an option.,0,0,0,0,1.414,28,1,0,0,No
Confirmation of cart will take the user to the checkout page.,Cash on delivery is not an option.,0,0,0,0,1.414,45,1,0,0,No
Cart will be saved even if the user logs out.,Cash on delivery is not an option.,0,0,0,0,1.414,30,1,0,0,No
Cart products cannot be changed.,Cash on delivery is not an option.,0,0,0,0,1.414,24,1,0,0,No
Cart will be empty if the user session ends.,Cash on delivery is not an option.,0,0,0,0,1.414,29,1,0,0,No
Multiple products will be added to cart.,Cash on delivery is not an option.,0,0,0,0,1.414,32,1,0,0,No
"In admin panel, the admin can add products to different categories.",Cash on delivery is not an option.,0,0,0,0,1.414,51,1,0,0,No
Admin can manage stocks in the inventory.,Cash on delivery is not an option.,0,0,0,0,1.414,29,1,0,0,No
Discount can be applied on any product.,Cash on delivery is not an option.,0.078,0,0,0.077,1.358,28,0.857,0,0.946,No
A product can have multiple variants.,Cash on delivery is not an option.,0,0,0,0,1.414,31,1,0,0,No
A product can belong to different categories.,Cash on delivery is not an option.,0,0,0,0,1.414,33,1,0,0,No
A product cannot have types.,Cash on delivery is not an option.,0,0,0,0,1.414,26,1,0,0,No
Product with stock zero will be deleted.,Cash on delivery is not an option.,0,0,0,0,1.414,33,1,0,0,No
A restocked product should appear normally.,Cash on delivery is not an option.,0,0,0,0,1.414,35,1,0,0,No
User can add a product to the cart.,User must pay the bills using Dutch Bangla Bank or Bkash.,0.13,0.167,0,0.118,1.319,41,0.788,0,2.711,No
"In the cart, any item can be removed or count can be changed.",User must pay the bills using Dutch Bangla Bank or Bkash.,0.08,0,0,0.1,1.356,48,0.833,0,3.584,No
Cart should be easy and dynamic to use.,User must pay the bills using Dutch Bangla Bank or Bkash.,0,0,0,0,1.414,43,1,0,0,No
Confirmation of cart will take the user to the checkout page.,User must pay the bills using Dutch Bangla Bank or Bkash.,0.148,0,0,0.05,1.305,49,0.875,0,1.602,No
Cart will be saved even if the user logs out.,User must pay the bills using Dutch Bangla Bank or Bkash.,0.107,0,0,0.05,1.337,44,0.905,0,1.515,No
Cart products cannot be changed.,User must pay the bills using Dutch Bangla Bank or Bkash.,0,0,0,0,1.414,44,1,0,0,No
Cart will be empty if the user session ends.,User must pay the bills using Dutch Bangla Bank or Bkash.,0.113,0,0,0.053,1.332,42,0.9,0,1.433,No
Multiple products will be added to cart.,User must pay the bills using Dutch Bangla Bank or Bkash.,0,0,0,0,1.414,42,1,0,0,No
"In admin panel, the admin can add products to different categories.",User must pay the bills using Dutch Bangla Bank or Bkash.,0.044,0,0,0.05,1.383,51,0.909,0,1.602,No
Admin can manage stocks in the inventory.,User must pay the bills using Dutch Bangla Bank or Bkash.,0.061,0,0,0.059,1.37,42,0.887,0,1.284,No
Discount can be applied on any product.,User must pay the bills using Dutch Bangla Bank or Bkash.,0,0,0,0,1.414,40,1,0,0,No
A product can have multiple variants.,User must pay the bills using Dutch Bangla Bank or Bkash.,0,0,0,0,1.414,42,1,0,0,No
A product can belong to different categories.,User must pay the bills using Dutch Bangla Bank or Bkash.,0,0,0,0,1.414,40,1,0,0,No
A product cannot have types.,User must pay the bills using Dutch Bangla Bank or Bkash.,0,0,0,0,1.414,45,1,0,0,No
Product with stock zero will be deleted.,User must pay the bills using Dutch Bangla Bank or Bkash.,0,0,0,0,1.414,43,1,0,0,No
A restocked product should appear normally.,User must pay the bills using Dutch Bangla Bank or Bkash.,0,0,0,0,1.414,44,1,0,0,No
"In the cart, any item can be removed or count can be changed.",User can add a product to the cart.,0.23,0.333,0,0.118,1.241,42,0.765,0,3.369,Yes
Cart should be easy and dynamic to use.,User can add a product to the cart.,0.156,0,0,0.067,1.299,31,0.875,0,1.147,No
Confirmation of cart will take the user to the checkout page.,User can add a product to the cart.,0.366,0.2,0,0.125,1.126,41,0.744,0,2.889,No
Cart will be saved even if the user logs out.,User can add a product to the cart.,0.222,0,0,0.059,1.248,33,0.889,0,1.338,No
Cart products cannot be changed.,User can add a product to the cart.,0.093,0,0,0,1.346,26,1,0,0,No
Cart will be empty if the user session ends.,User can add a product to the cart.,0.236,0,0,0.062,1.236,36,0.882,0,1.239,No
Multiple products will be added to cart.,User can add a product to the cart.,0.168,0,0,0.154,1.29,29,0.733,0,2.123,No
"In admin panel, the admin can add products to different categories.",User can add a product to the cart.,0.272,1,0,0.286,1.207,41,0.576,0,5.779,No
Admin can manage stocks in the inventory.,User can add a product to the cart.,0.168,0,0,0.154,1.29,26,0.733,0,2.123,No
Discount can be applied on any product.,User can add a product to the cart.,0.168,0.333,0,0.071,1.29,27,0.867,0,1.062,No
